title,popularity,favorites,studios,studios_name
Shingetsutan Tsukihime,0.0509454132424667,0.0028265006329769,688,J.C.Staff
Slam Dunk,0.0274604129083984,0.0324291185299011,1751,Toei Animation
Strange Dawn,0.273635331061669,3.980986807009721e-05,589,HAL Film Maker
Tactics,0.1304870715574263,0.0006847297308056,1467,Studio Deen
Tenjou Tenge,0.0463018641010222,0.0025358885960651,856,Madhouse
Tokyo Underground,0.1511993051379702,0.0002109923007715,1574,Studio Pierrot
Triangle Heart: Sweet Songs Forever,0.2646823010623371,2.7866907649068047e-05,1316,Seven Arcs
Tsubasa Chronicle,0.0391193960045433,0.0082406426905101,211,Bee Train
Ultra Maniac,0.1416449522282354,0.0006011290078584,163,Ashi Productions
Ultra Maniac OVA,0.2963853811719115,1.1942960421029164e-05,163,Ashi Productions
Vandread,0.0848199371951626,0.0017715391291193,541,Gonzo
Vandread: The Second Stage,0.1108438564842653,0.0004936423640692,541,Gonzo
Tenkuu no Escaflowne,0.0518808044364268,0.0091323837352803,1635,Sunrise
Whistle!,0.2004075633059397,0.0003304219049818,1458,Studio Comet
Xenosaga The Animation,0.1762878332331128,0.0001950683535434,1751,Toei Animation
Initial D First Stage,0.0202445379835638,0.0555148610237505,521,Gallop|Studio Comet
Initial D Second Stage,0.0357118995122603,0.0048568039045518,1120,Pastel
Initial D Third Stage,0.0449655909667936,0.0029300062899591,1467,Studio Deen
Gosenzo Sane,0.3506380704215942,4.3790854877106935e-05,36,AIC
Love Hina,0.0333066078706487,0.0060869288279178,1893,Xebec
Love Hina Again,0.0856217010756998,0.0003543078258238,1893,Xebec
Love Hina Christmas Special: Silent Eve,0.1079040555889623,0.0001990493403504,1893,Xebec
Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,0.1133827754392998,8.360072294720415e-05,1893,Xebec
Maburaho,0.0785060466359323,0.0009434938732613,688,J.C.Staff
Macross Zero,0.1308211398409835,0.0005135472981042,1297,Satelight
Onegai☆Teacher,0.048907596712768,0.0040008917410447,365,Daume
Onegai☆Twins,0.0823478318968397,0.0007563874933318,365,Daume
Rizelmine,0.1622903721520679,0.0002149732875785,862,Madhouse|Imagin
Speed Grapher,0.0674149796218347,0.0025916224113633,541,Gonzo
Sen to Chihiro no Kamikakushi,0.0014364936192957,0.1395335875856907,1504,Studio Ghibli
Tenshi na Konamaiki,0.154272733346696,0.0006210339418935,1679,TMS Entertainment
Video Girl Ai,0.1461214672279014,0.0006051099946654,1166,Production I.G
Wolf's Rain,0.0259905124607469,0.023782415185076,234,Bones
Words Worth,0.2455735952428676,0.0001512774986663,145,Arms
Yumeria,0.1562103293913276,0.0001353535514383,1467,Studio Deen
Samurai Champloo,0.0037081579474844,0.1637180824382748,896,Manglobe
Lodoss-tou Senki: Eiyuu Kishi Den,0.1353644684973608,0.0005891860474374,36,AIC
Lodoss-tou Senki,0.0817465089864368,0.00328829510259,856,Madhouse
R.O.D: Read or Die,0.0941070354780517,0.0014729651185935,1467,Studio Deen
R.O.D: The TV,0.0954099017839246,0.0017994060367683,688,J.C.Staff
Ranma ½,0.0329725395870916,0.0187146189797526,1467,Studio Deen
Pure Mail,0.3377764415046435,4.3790854877106935e-05,364,Datama Film
Project A-Ko,0.166499632524888,0.0006608438099636,67,APPP
Pia Carrot e Youkoso!!,0.329491548072426,1.1942960421029164e-05,1814,Triple X
Pia Carrot e Youkoso!! 2,0.3668737890024721,1.1942960421029164e-05,1814,Triple X
Pia Carrot e Youkoso!! 2 DX,0.3589563706821674,1.1942960421029164e-05,527,Garyuu Studio
Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,0.35347765083183,3.980986807009721e-06,643,I-move
Shin Angel,0.3484666265784726,4.777184168411665e-05,145,Arms
Kidou Senkan Nadesico,0.1077704282755395,0.0020183603111539,1893,Xebec
Kidou Senkan Nadesico: The Prince of Darkness,0.1893499031201977,0.0001313725646313,1893,Xebec
Kuro no Danshou,0.3592904389657245,5.175282849112637e-05,709,JOF
Mezzo Forte,0.1372686577136366,0.0004976233508762,145,Arms
Mezzo DSA,0.1620565243535778,0.0003344028917888,145,Arms
Dragon Ball,0.0050110242533573,0.0713910364101053,1751,Toei Animation
Dragon Ball GT,0.0118928308946348,0.0092478323526835,1751,Toei Animation
Elfen Lied,0.0026725462684572,0.1001337611567155,145,Arms
FLCL,0.0077837910068818,0.1319577696919512,509,Gainax|Production I.G
Jigoku Shoujo,0.023518407162424,0.0134358304736578,1467,Studio Deen
Ninin ga Shinobuden,0.1398409834970268,0.0005533571661743,2015,ufotable
Air Master,0.1300861896171577,0.0006648247967706,1751,Toei Animation
Asagiri no Miko,0.2522549609140108,2.3885920842058325e-05,293,Chaos Project|GANSIS
Cardcaptor Sakura,0.0178392463419522,0.0588469469812177,856,Madhouse
Daa! Daa! Daa!,0.1606534375626378,0.0010469995302435,688,J.C.Staff
Dan Doh!!,0.3142914411705752,1.1942960421029164e-05,1773,Tokyo Kids
Meitantei Conan,0.0241865437295383,0.0638669713448569,1679,TMS Entertainment
E's Otherwise,0.192723992784125,0.0001035056569822,1574,Studio Pierrot
Koukyoushihen Eureka Seven,0.0189750785060466,0.037266017500418,234,Bones
Rekka no Honoo,0.0968463954032204,0.0010947713719276,1574,Studio Pierrot
Gankutsuou,0.0347096946615888,0.0161429015024244,541,Gonzo
Genshiken,0.0480724260038751,0.0061944154717071,1105,Palm Studio
Girls Bravo: First Season,0.0559898443241798,0.0013455735407692,44,AIC Spirits
Gokusen,0.1153871851406427,0.0011465242004187,856,Madhouse
Gravitation,0.0675820137636132,0.004538324959991,1467,Studio Deen
Agatha Christie no Meitantei Poirot to Marple,0.2549275071824681,0.0001035056569822,1010,OLM
Great Teacher Onizuka,0.0073495022382575,0.1143140361632841,1574,Studio Pierrot
Groove Adventure Rave,0.0762343823077437,0.0015446228811197,1467,Studio Deen
Harukanaru Toki no Naka de: Hachiyou Shou,0.1630253223758936,0.0004737374300341,1935,Yumeta Company
Ichigo 100%,0.0700207122335805,0.0010509805170505,856,Madhouse
InuYasha,0.0083517070889289,0.0797471277180187,1635,Sunrise
Konjiki no Gash Bell!!,0.0635397875325716,0.0054221040311472,1751,Toei Animation
Kyou kara Maou!,0.0689851005545533,0.0056012484374626,1467,Studio Deen
Madlax,0.1255762677891361,0.0006329769023145,211,Bee Train
Jungle wa Itsumo Hare nochi Guu,0.1183937996926571,0.0017675581423123,1355,Shin-Ei Animation
Jungle wa Itsumo Hare nochi Guu Deluxe,0.2098282889022516,9.15626965612236e-05,1355,Shin-Ei Animation
Jungle wa Itsumo Hare nochi Guu Final,0.2346495623705485,5.5733815298136095e-05,1355,Shin-Ei Animation
Hoshi no Koe,0.0550544531302198,0.0021736187966273,311,CoMix Wave Films
Ikkitousen,0.0521146522349168,0.0018312539312244,688,J.C.Staff
Hitsuji no Uta,0.1844390993519075,0.0001632204590873,856,Madhouse
Happy☆Lesson,0.2197501169238992,5.5733815298136095e-05,1547,Studio Kyuuma|Venet|Chaos Project
Happy☆Lesson (TV),0.1536045967795817,0.0001512774986663,1516,Studio Hibari
Happy☆Lesson Advance,0.1977684238658381,3.184789445607777e-05,1516,Studio Hibari
Happy☆Lesson The Final,0.2376561769225629,2.7866907649068047e-05,1595,Studio Ranmaru
Hajime no Ippo,0.0115921694394334,0.1002651337213468,856,Madhouse
Hajime no Ippo: Champion Road,0.0569586423464956,0.0011027333455416,856,Madhouse
Hajime no Ippo: Mashiba vs. Kimura,0.0670475045099218,0.0009355318996472,856,Madhouse
Gunparade March: Arata Naru Kougunka,0.188614952896372,0.0001074866437892,688,J.C.Staff
Gungrave,0.0429277744370949,0.0101316114238397,856,Madhouse
Golden Boy,0.0190084853344023,0.0267084404882282,67,APPP
Bleach,0.0011024253357386,0.3324203603589257,1574,Studio Pierrot
Hellsing,0.0096879802231576,0.0262983988471062,541,Gonzo
Gad Guard,0.2010422930446983,0.0001234105910173,543,Gonzo|Amber Film Works
Noir,0.0686176254426404,0.0036306599679928,211,Bee Train
Mahoutsukai ni Taisetsu na Koto,0.1565778045032404,0.0001393345382453,704,J.C.Staff|Viewworks
Kiddy Grade,0.1200975479387986,0.0010111706489804,541,Gonzo
Love♥Love?,0.1720451660319369,5.175282849112637e-05,677,Imagin|Studio Live
Mahoromatic: Automatic Maiden,0.0992516870448319,0.0008917410447701,511,Gainax|Shaft
Mahoromatic: Motto Utsukushii Mono,0.1441170575265584,0.0001950683535434,511,Gainax|Shaft
Viewtiful Joe,0.2156744838645019,0.0001114676305962,568,Group TAC
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,0.1296184940201777,0.0005891860474374,1679,TMS Entertainment
Animal Yokochou,0.3424533974744437,6.767677571916526e-05,517,Gallop
Akane Maniax,0.1843054720384846,3.980986807009721e-05,1387,Silver
